R,G,B,cebolla,manzana,limon,zanahoria
96,103,161,0,0,1,0
95,96,159,0,0,1,0
95,102,161,0,0,1,0
95,102,161,0,0,1,0
97,94,161,0,0,1,0
95,100,154,0,0,1,0
96,96,159,0,0,1,0
96,100,156,0,0,1,0
90,103,161,0,0,1,0
95,102,161,0,0,1,0
95,102,162,0,0,1,0
96,102,161,0,0,1,0
95,101,162,0,0,1,0
96,101,163,0,0,1,0
97,96,161,0,0,1,0
95,100,155,0,0,1,0
90,101,148,0,0,1,0
97,101,154,0,0,1,0
96,101,163,0,0,1,0
96,102,159,0,0,1,0
97,101,154,0,0,1,0
97,96,160,0,0,1,0
97,100,154,0,0,1,0
89,101,148,0,0,1,0
96,102,165,0,0,1,0
95,100,155,0,0,1,0
95,101,154,0,0,1,0
96,101,164,0,0,1,0
96,100,149,0,0,1,0
95,100,154,0,0,1,0
97,95,161,0,0,1,0
97,100,155,0,0,1,0
89,101,155,0,0,1,0
97,101,166,0,0,1,0
96,102,162,0,0,1,0
96,96,160,0,0,1,0
96,104,161,0,0,1,0
96,100,164,0,0,1,0
97,95,161,0,0,1,0
95,103,164,0,0,1,0
95,99,164,0,0,1,0
96,97,158,0,0,1,0
95,104,160,0,0,1,0
97,101,164,0,0,1,0
96,101,164,0,0,1,0
98,102,157,0,0,1,0
95,101,164,0,0,1,0
97,103,162,0,0,1,0
95,102,161,0,0,1,0
95,95,161,0,0,1,0
97,101,154,0,0,1,0
91,101,161,0,0,1,0
95,101,164,0,0,1,0
97,102,162,0,0,1,0
95,101,164,0,0,1,0
96,99,154,0,0,1,0
96,101,157,0,0,1,0
95,105,158,0,0,1,0
90,101,147,0,0,1,0
96,100,154,0,0,1,0
96,97,159,0,0,1,0
94,102,162,0,0,1,0
90,101,152,0,0,1,0
96,101,155,0,0,1,0
95,101,148,0,0,1,0
95,101,154,0,0,1,0
97,102,164,0,0,1,0
94,98,165,0,0,1,0
97,101,159,0,0,1,0
97,102,151,0,0,1,0
96,102,164,0,0,1,0
97,101,154,0,0,1,0
95,102,154,0,0,1,0
97,99,151,0,0,1,0
96,100,157,0,0,1,0
97,103,162,0,0,1,0
95,101,166,0,0,1,0
95,102,163,0,0,1,0
91,98,158,0,0,1,0
95,102,164,0,0,1,0
97,101,154,0,0,1,0
95,103,161,0,0,1,0
96,101,156,0,0,1,0
97,101,154,0,0,1,0
90,103,164,0,0,1,0
96,102,162,0,0,1,0
95,102,162,0,0,1,0
97,105,155,0,0,1,0
97,102,163,0,0,1,0
93,97,160,0,0,1,0
96,103,161,0,0,1,0
97,102,165,0,0,1,0
95,102,157,0,0,1,0
95,103,164,0,0,1,0
93,100,167,0,0,1,0
96,102,154,0,0,1,0
96,103,162,0,0,1,0
95,101,159,0,0,1,0
96,104,161,0,0,1,0
95,97,158,0,0,1,0
96,102,161,0,0,1,0
89,101,161,0,0,1,0
96,103,163,0,0,1,0
94,102,163,0,0,1,0
94,101,156,0,0,1,0
95,103,160,0,0,1,0
97,98,158,0,0,1,0
96,100,158,0,0,1,0
98,103,156,0,0,1,0
97,99,155,0,0,1,0
96,102,162,0,0,1,0
96,98,150,0,0,1,0
96,102,162,0,0,1,0
95,98,159,0,0,1,0
96,102,158,0,0,1,0
