R,G,B,cebolla,manzana,limon,zanahoria
63,142,140,0,1,0,0
63,137,138,0,1,0,0
63,145,138,0,1,0,0
63,139,139,0,1,0,0
63,140,130,0,1,0,0
63,145,139,0,1,0,0
63,141,140,0,1,0,0
63,141,130,0,1,0,0
63,147,136,0,1,0,0
63,140,132,0,1,0,0
63,137,124,0,1,0,0
63,146,137,0,1,0,0
63,143,140,0,1,0,0
63,135,138,0,1,0,0
63,147,138,0,1,0,0
63,142,139,0,1,0,0
64,141,124,0,1,0,0
63,144,139,0,1,0,0
63,142,140,0,1,0,0
56,142,130,0,1,0,0
63,144,137,0,1,0,0
63,140,131,0,1,0,0
64,142,124,0,1,0,0
63,144,138,0,1,0,0
64,142,131,0,1,0,0
63,142,124,0,1,0,0
63,144,139,0,1,0,0
64,146,139,0,1,0,0
64,141,137,0,1,0,0
62,146,136,0,1,0,0
63,144,138,0,1,0,0
63,146,131,0,1,0,0
63,146,137,0,1,0,0
63,141,131,0,1,0,0
64,143,130,0,1,0,0
64,144,139,0,1,0,0
63,141,131,0,1,0,0
64,144,130,0,1,0,0
62,143,139,0,1,0,0
63,141,130,0,1,0,0
64,142,130,0,1,0,0
56,144,138,0,1,0,0
63,133,131,0,1,0,0
64,143,130,0,1,0,0
57,143,138,0,1,0,0
63,136,131,0,1,0,0
64,143,138,0,1,0,0
63,144,137,0,1,0,0
64,138,138,0,1,0,0
63,145,139,0,1,0,0
64,146,137,0,1,0,0
63,142,130,0,1,0,0
64,144,132,0,1,0,0
63,143,139,0,1,0,0
63,142,130,0,1,0,0
64,137,139,0,1,0,0
63,144,139,0,1,0,0
62,143,129,0,1,0,0
64,147,133,0,1,0,0
62,145,136,0,1,0,0
63,144,138,0,1,0,0
63,139,137,0,1,0,0
63,145,137,0,1,0,0
64,142,130,0,1,0,0
64,145,131,0,1,0,0
62,143,138,0,1,0,0
63,141,130,0,1,0,0
63,145,138,0,1,0,0
64,145,137,0,1,0,0
64,144,137,0,1,0,0
63,144,138,0,1,0,0
63,140,138,0,1,0,0
63,141,138,0,1,0,0
64,144,129,0,1,0,0
63,142,138,0,1,0,0
62,140,130,0,1,0,0
63,138,138,0,1,0,0
63,141,135,0,1,0,0
63,143,130,0,1,0,0
63,144,131,0,1,0,0
63,142,138,0,1,0,0
64,143,130,0,1,0,0
63,144,132,0,1,0,0
63,144,137,0,1,0,0
64,143,138,0,1,0,0
64,148,128,0,1,0,0
63,146,136,0,1,0,0
57,143,137,0,1,0,0
64,147,136,0,1,0,0
62,145,137,0,1,0,0
63,139,137,0,1,0,0
64,148,136,0,1,0,0
63,144,137,0,1,0,0
63,140,137,0,1,0,0
64,148,137,0,1,0,0
63,142,139,0,1,0,0
59,145,138,0,1,0,0
64,148,130,0,1,0,0
62,140,138,0,1,0,0
63,141,138,0,1,0,0
63,145,139,0,1,0,0
64,145,139,0,1,0,0
63,145,137,0,1,0,0
58,141,136,0,1,0,0
63,147,134,0,1,0,0
63,144,138,0,1,0,0
63,148,132,0,1,0,0
64,144,137,0,1,0,0
63,144,137,0,1,0,0
63,139,137,0,1,0,0
62,140,140,0,1,0,0
64,142,130,0,1,0,0
58,146,138,0,1,0,0
63,142,134,0,1,0,0
64,144,137,0,1,0,0
63,144,139,0,1,0,0
63,141,125,0,1,0,0
63,143,130,0,1,0,0
63,139,138,0,1,0,0
63,140,131,0,1,0,0
64,145,136,0,1,0,0
63,141,136,0,1,0,0
63,145,138,0,1,0,0
64,146,137,0,1,0,0
63,141,137,0,1,0,0
63,145,138,0,1,0,0
64,143,129,0,1,0,0
63,140,132,0,1,0,0
64,147,138,0,1,0,0
63,143,130,0,1,0,0
63,145,132,0,1,0,0
62,140,130,0,1,0,0
57,144,124,0,1,0,0
63,145,138,0,1,0,0
63,140,131,0,1,0,0
64,138,130,0,1,0,0
63,144,138,0,1,0,0
63,143,131,0,1,0,0
63,142,138,0,1,0,0
63,146,137,0,1,0,0
63,143,124,0,1,0,0
63,145,138,0,1,0,0
65,144,135,0,1,0,0
63,138,138,0,1,0,0
65,145,138,0,1,0,0
63,146,137,0,1,0,0
57,142,130,0,1,0,0
63,143,130,0,1,0,0
63,143,137,0,1,0,0
63,137,130,0,1,0,0
64,143,130,0,1,0,0
64,141,135,0,1,0,0
63,143,130,0,1,0,0
57,139,137,0,1,0,0
63,145,137,0,1,0,0
64,145,138,0,1,0,0
63,144,138,0,1,0,0
62,145,131,0,1,0,0
63,144,137,0,1,0,0
63,145,130,0,1,0,0
62,147,137,0,1,0,0
64,145,139,0,1,0,0
58,140,138,0,1,0,0
63,146,137,0,1,0,0
63,141,130,0,1,0,0
64,138,130,0,1,0,0
63,145,137,0,1,0,0
63,141,130,0,1,0,0
63,143,138,0,1,0,0
63,145,138,0,1,0,0
63,141,130,0,1,0,0
63,142,130,0,1,0,0
63,144,139,0,1,0,0
57,144,139,0,1,0,0
64,147,138,0,1,0,0
63,145,138,0,1,0,0
63,143,137,0,1,0,0
64,139,130,0,1,0,0
64,145,137,0,1,0,0
63,144,138,0,1,0,0
58,140,136,0,1,0,0
63,145,137,0,1,0,0
63,144,134,0,1,0,0
57,141,137,0,1,0,0
63,143,137,0,1,0,0
62,143,138,0,1,0,0
58,141,137,0,1,0,0
63,146,135,0,1,0,0
64,142,135,0,1,0,0
63,138,138,0,1,0,0
63,142,131,0,1,0,0
62,143,130,0,1,0,0
63,139,136,0,1,0,0
62,145,137,0,1,0,0
63,145,136,0,1,0,0
63,147,131,0,1,0,0
64,144,137,0,1,0,0
63,146,136,0,1,0,0
64,143,130,0,1,0,0
